redispatch_name,plant_id,matched_name,fueltype,capacity_mw,confidence,source,reasoning,needs_review
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H Berlin Mitte,10325,Berlin Mitte,Natural Gas,461.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
50H Rostock Marienehe,3276,Rostock Marienehe,Natural Gas,108.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
SHN Cluster Süderdonn T411,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Süderdonn T412 T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Klixbüll,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Heide West T411 T412,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Husum Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Heide West T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Lippendorf VE,313,Lippendorf,Lignite,1782.0,high,fuzzy,"Top fuzzy score 95, unique match after pre-filtering.",
Boxberg (Standort),323,Boxberg,Lignite,2470.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Lippendorf EnBW,313,Lippendorf,Lignite,1782.0,high,fuzzy,"Top fuzzy score 90, unique match after pre-filtering.",
Jänschwalde (Standort),315,Janschwalde,Lignite,3000.5928,high,fuzzy,"Top fuzzy score 91, unique match after pre-filtering.",
Schwarze Pumpe (Standort),268,Schwarze Pumpe,Lignite,1510.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Schkopau,270,Schkopau,Lignite,1010.132,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Irsching 5,721,Irsching,Natural Gas,2137.0,high,fuzzy,"Top fuzzy score 95, unique match after pre-filtering.",
WALSUM_10,320,Walsum,Hard Coal,1095.0,high,fuzzy,"Top fuzzy score 90, unique match after pre-filtering.",
EE Bayern,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Wilhelmshaven (ENGIE),25002,Wilhelmshaven On,Hard Coal,788.1,high,claude,"ENGIE operated the Wilhelmshaven coal power plant (formerly E.ON), and id=25002 'Wilhelmshaven On' matches as a Hard Coal Steam Turbine at ~788 MW at coordinates 53.566°N 8.146°E, consistent with the ENGIE-operated unit.",
Reservekraftwerk Altbach/Deizisau Block 1,265,Altbach Deizisau,Hard Coal,1004.0,high,claude,The Altbach/Deizisau power station is a hard coal plant operated by EnBW near Stuttgart; id=265 'Altbach Deizisau' at 1004 MW Hard Coal Steam Turbine at 48.718°N 9.372°E is the best match for Block 1 of this reserve plant.,
KMW_KW3,,,,,none,unmatched,"KMW likely refers to Kraftwerk Mannheim or a similar operator abbreviation, but none of the candidates clearly match a KMW unit 3; no suitable candidate is present in the list.",YES
Gebersdorf 2,,,,,none,unmatched,"Gebersdorf is a district of Nuremberg associated with a Stadtwerke Nürnberg power plant, but none of the candidates in the list correspond to this location or facility.",YES
50H Halle-Dieselstr HKW-BlockA,2776,Halle Trotha,Natural Gas,126.991,medium,claude,"The Halle-Dieselstraße HKW (heating power plant) in Halle (Saale) is most plausibly represented by id=2776 'Halle Trotha' (Natural Gas CCGT, 127 MW, 51.491°N 11.968°E), as it is the only substantial conventional plant in Halle among the candidates.",
50H Hamburg Wedel1,267,Wedel,Hard Coal,693.0,high,claude,Wedel is a well-known hard coal steam turbine plant near Hamburg operated by Vattenfall/HEnW; id=267 'Wedel' at 693 MW Hard Coal Steam Turbine at 53.567°N 9.725°E is an exact match.,
50H Berlin Marzahn,4903,Marzahn,Natural Gas,258.8,high,claude,"id=4903 'Marzahn' is a Natural Gas CCGT at 258.8 MW located at 52.525°N 13.521°E in Berlin-Marzahn, directly matching the redispatch name.",
Netzreservekraftwerk Bexbach A,322,Bexbach,Hard Coal,726.24,high,claude,Bexbach is a hard coal power station in Saarland operated as a network reserve; id=322 'Bexbach' at 726.2 MW Hard Coal Steam Turbine at 49.353°N 7.240°E is the clear match for Block A.,
